linha;status;motivo;researcher_id;universidade;institution_id;identity_territory;workload;city_id
106;atualizado;;2bfeff02-1810-446c-9c60-3841d2285658;UFRB;73cdfd5f-e313-42c9-a90d-38ed38260d48;RECÔNCAVO;40.0;32950a66-6cc5-4621-a4ba-a071bbd866e1
107;atualizado;;76066902-699c-4445-82ed-922c5b95d546;UFRB;73cdfd5f-e313-42c9-a90d-38ed38260d48;RECÔNCAVO;40.0;32950a66-6cc5-4621-a4ba-a071bbd866e1
108;atualizado;;df450733-1546-4aa2-aa01-a8152ba0dda6;UFRB;73cdfd5f-e313-42c9-a90d-38ed38260d48;RECÔNCAVO;40.0;32950a66-6cc5-4621-a4ba-a071bbd866e1
109;atualizado;;61e58ef3-68c7-4b08-b921-df14824f3104;UFRB;73cdfd5f-e313-42c9-a90d-38ed38260d48;RECÔNCAVO;40.0;32950a66-6cc5-4621-a4ba-a071bbd866e1
110;atualizado;;96c1762d-4d1c-4fe6-b772-1e9aa40db669;UFRB;73cdfd5f-e313-42c9-a90d-38ed38260d48;RECÔNCAVO;40.0;32950a66-6cc5-4621-a4ba-a071bbd866e1
111;atualizado;;41522d98-10a2-4624-aea7-77b9eef65f2e;UFRB;73cdfd5f-e313-42c9-a90d-38ed38260d48;RECÔNCAVO;40.0;32950a66-6cc5-4621-a4ba-a071bbd866e1
112;atualizado;;5ac65197-e58a-4fa8-a7d6-eda518315d47;UFRB;73cdfd5f-e313-42c9-a90d-38ed38260d48;RECÔNCAVO;40.0;32950a66-6cc5-4621-a4ba-a071bbd866e1
113;atualizado;;3b8de461-2401-4e27-971e-cec45ce9d91b;UFRB;73cdfd5f-e313-42c9-a90d-38ed38260d48;RECÔNCAVO;40.0;32950a66-6cc5-4621-a4ba-a071bbd866e1
114;atualizado;;f9cd00b2-96ff-4790-8c26-30de4aa1dc13;UFRB;73cdfd5f-e313-42c9-a90d-38ed38260d48;RECÔNCAVO;40.0;32950a66-6cc5-4621-a4ba-a071bbd866e1
115;atualizado;;9f4c04ec-a9ef-4e9b-83fa-82c05f232ee1;UFRB;73cdfd5f-e313-42c9-a90d-38ed38260d48;RECÔNCAVO;40.0;32950a66-6cc5-4621-a4ba-a071bbd866e1
