linha;status;motivo;researcher_id;universidade;institution_id;identity_territory;workload;city_id
73;atualizado;;5a476482-7fd6-4a4d-afa3-098c1861ff8e;UFOB;ecafd569-d31f-429b-ba33-26780f46b990;BACIA DO RIO GRANDE;40.0;217e7292-81be-438a-9a3d-3434d963d80d
74;atualizado;;24ccbf25-41fb-48d0-9f89-0c7538c369ae;UFOB;ecafd569-d31f-429b-ba33-26780f46b990;BACIA DO RIO GRANDE;40.0;217e7292-81be-438a-9a3d-3434d963d80d
75;atualizado;;d1cd766b-b0c4-43fb-80f7-7eafeca98c33;UFOB;ecafd569-d31f-429b-ba33-26780f46b990;BACIA DO RIO GRANDE;40.0;217e7292-81be-438a-9a3d-3434d963d80d
76;atualizado;;b496dd7f-407f-4ed9-8711-b897a1e964ed;UFOB;ecafd569-d31f-429b-ba33-26780f46b990;BACIA DO RIO GRANDE;40.0;217e7292-81be-438a-9a3d-3434d963d80d
77;ignorado;Pesquisador nao encontrado no banco de dados.;;UFOB;ecafd569-d31f-429b-ba33-26780f46b990;;;
78;atualizado;;2bf57f8b-81ff-4923-b604-8308e82ada78;UFOB;ecafd569-d31f-429b-ba33-26780f46b990;BACIA DO RIO GRANDE;40.0;217e7292-81be-438a-9a3d-3434d963d80d
79;ignorado;Pesquisador nao encontrado no banco de dados.;;UFOB;ecafd569-d31f-429b-ba33-26780f46b990;;;
80;atualizado;;ebfc96d0-39c5-4352-b064-ceb07f81ac51;UFOB;ecafd569-d31f-429b-ba33-26780f46b990;BACIA DO RIO GRANDE;40.0;217e7292-81be-438a-9a3d-3434d963d80d
81;atualizado;;bd56cb9c-bced-48b8-848f-d504fbc5a82d;UFOB;ecafd569-d31f-429b-ba33-26780f46b990;BACIA DO RIO GRANDE;20.0;217e7292-81be-438a-9a3d-3434d963d80d
82;atualizado;;c924764c-69bc-4b91-8721-565cb98190c8;UFOB;ecafd569-d31f-429b-ba33-26780f46b990;BACIA DO RIO GRANDE;20.0;217e7292-81be-438a-9a3d-3434d963d80d
83;atualizado;;b294dde9-9e94-40c5-821c-36406d17e1ec;UFOB;ecafd569-d31f-429b-ba33-26780f46b990;BACIA DO RIO GRANDE;40.0;217e7292-81be-438a-9a3d-3434d963d80d
84;atualizado;;34d3c3a6-a8dd-4a47-bca3-dc01a90dfc3f;UFOB;ecafd569-d31f-429b-ba33-26780f46b990;BACIA DO RIO GRANDE;20.0;217e7292-81be-438a-9a3d-3434d963d80d
85;atualizado;;9ab8dccf-322b-4910-b439-5a27fe5a4455;UFOB;ecafd569-d31f-429b-ba33-26780f46b990;BACIA DO RIO GRANDE;40.0;217e7292-81be-438a-9a3d-3434d963d80d
86;atualizado;;dfba14a0-4529-419f-a2bf-478b84292b04;UFOB;ecafd569-d31f-429b-ba33-26780f46b990;BACIA DO RIO GRANDE;40.0;217e7292-81be-438a-9a3d-3434d963d80d
87;atualizado;;16c95e28-e9ac-404c-bad7-b6e55c3fd2f3;UFOB;ecafd569-d31f-429b-ba33-26780f46b990;BACIA DO RIO GRANDE;20.0;217e7292-81be-438a-9a3d-3434d963d80d
88;ignorado;Pesquisador nao encontrado no banco de dados.;;UFOB;ecafd569-d31f-429b-ba33-26780f46b990;;;
89;ignorado;Pesquisador vinculado a outra universidade.;;UFOB;ecafd569-d31f-429b-ba33-26780f46b990;;;
90;atualizado;;bf068b6b-a9b2-45ce-922f-2e4249fe9ba6;UFOB;ecafd569-d31f-429b-ba33-26780f46b990;BACIA DO RIO GRANDE;40.0;217e7292-81be-438a-9a3d-3434d963d80d
91;atualizado;;934df9c2-d8c6-42d6-8f05-50ba8b5e8f99;UFOB;ecafd569-d31f-429b-ba33-26780f46b990;BACIA DO RIO GRANDE;40.0;217e7292-81be-438a-9a3d-3434d963d80d
92;atualizado;;2ae4f720-658e-4487-ade9-1b32adf246ea;UFOB;ecafd569-d31f-429b-ba33-26780f46b990;BACIA DO RIO GRANDE;40.0;217e7292-81be-438a-9a3d-3434d963d80d
93;atualizado;;ecce4456-a4d4-4ea9-92ec-b53c8d84212c;UFOB;ecafd569-d31f-429b-ba33-26780f46b990;BACIA DO RIO GRANDE;40.0;217e7292-81be-438a-9a3d-3434d963d80d
94;atualizado;;a2388a80-13c2-4d6e-8ef9-06f7e05451a2;UFOB;ecafd569-d31f-429b-ba33-26780f46b990;BACIA DO RIO GRANDE;40.0;217e7292-81be-438a-9a3d-3434d963d80d
95;ignorado;Pesquisador nao encontrado no banco de dados.;;UFOB;ecafd569-d31f-429b-ba33-26780f46b990;;;
96;atualizado;;07ecf7b5-d29e-437f-9259-4ba82cc1c9c9;UFOB;ecafd569-d31f-429b-ba33-26780f46b990;BACIA DO RIO GRANDE;40.0;217e7292-81be-438a-9a3d-3434d963d80d
97;atualizado;;83b27155-60c0-4ab4-8014-eb0d6e3147ba;UFOB;ecafd569-d31f-429b-ba33-26780f46b990;BACIA DO RIO GRANDE;20.0;217e7292-81be-438a-9a3d-3434d963d80d
98;atualizado;;b8825e5e-f3aa-4862-affe-159b2154b95b;UFOB;ecafd569-d31f-429b-ba33-26780f46b990;BACIA DO RIO GRANDE;40.0;217e7292-81be-438a-9a3d-3434d963d80d
99;atualizado;;13464a76-2471-4499-ae4d-b5d505f9af61;UFOB;ecafd569-d31f-429b-ba33-26780f46b990;BACIA DO RIO GRANDE;40.0;217e7292-81be-438a-9a3d-3434d963d80d
100;atualizado;;0f29d6f0-c45b-4370-acf2-aa8ea80620eb;UFOB;ecafd569-d31f-429b-ba33-26780f46b990;BACIA DO RIO GRANDE;20.0;217e7292-81be-438a-9a3d-3434d963d80d
101;atualizado;;971b9a94-b74e-4dff-b14c-66ad03a3d564;UFOB;ecafd569-d31f-429b-ba33-26780f46b990;BACIA DO RIO GRANDE;40.0;217e7292-81be-438a-9a3d-3434d963d80d
102;atualizado;;29b49529-9c01-4fcf-bd9d-b10079cc2d86;UFOB;ecafd569-d31f-429b-ba33-26780f46b990;BACIA DO RIO GRANDE;40.0;217e7292-81be-438a-9a3d-3434d963d80d
103;ignorado;Pesquisador nao encontrado no banco de dados.;;UFOB;ecafd569-d31f-429b-ba33-26780f46b990;;;
104;ignorado;Pesquisador nao encontrado no banco de dados.;;UFOB;ecafd569-d31f-429b-ba33-26780f46b990;;;
105;atualizado;;2b09835e-a168-4908-91ee-edde9cbb8f72;UFOB;ecafd569-d31f-429b-ba33-26780f46b990;BACIA DO RIO GRANDE;40.0;217e7292-81be-438a-9a3d-3434d963d80d
106;atualizado;;d044dfd9-25b4-4c45-9df4-3a7e9ec5eaf3;UFOB;ecafd569-d31f-429b-ba33-26780f46b990;BACIA DO RIO GRANDE;40.0;217e7292-81be-438a-9a3d-3434d963d80d
107;atualizado;;34504428-6a44-4fcc-a57b-ca8551964693;UFOB;ecafd569-d31f-429b-ba33-26780f46b990;BACIA DO RIO GRANDE;40.0;217e7292-81be-438a-9a3d-3434d963d80d
108;atualizado;;2550f7b4-3e08-4f54-abc6-692283139b68;UFOB;ecafd569-d31f-429b-ba33-26780f46b990;BACIA DO RIO GRANDE;40.0;217e7292-81be-438a-9a3d-3434d963d80d
109;atualizado;;128bcd0c-3b7c-4990-b321-0427aaa54d96;UFOB;ecafd569-d31f-429b-ba33-26780f46b990;BACIA DO RIO GRANDE;40.0;217e7292-81be-438a-9a3d-3434d963d80d
110;atualizado;;a8f0e6fc-fea7-42b2-9f28-4c03e6a5021d;UFOB;ecafd569-d31f-429b-ba33-26780f46b990;BACIA DO RIO GRANDE;20.0;217e7292-81be-438a-9a3d-3434d963d80d
111;atualizado;;d325bc6d-2827-42cb-a013-fdc42817ecf4;UFOB;ecafd569-d31f-429b-ba33-26780f46b990;BACIA DO RIO GRANDE;40.0;217e7292-81be-438a-9a3d-3434d963d80d
112;ignorado;Pesquisador nao encontrado no banco de dados.;;UFOB;ecafd569-d31f-429b-ba33-26780f46b990;;;
113;atualizado;;38e8af30-4b0e-4686-8e3f-52509d207c7a;UFOB;ecafd569-d31f-429b-ba33-26780f46b990;BACIA DO RIO GRANDE;40.0;217e7292-81be-438a-9a3d-3434d963d80d
