code,rating
26001012025P6,7
12001015063P6*,5
28001010065P7,4
28001010039P6,5
22001018058P0,4
22001018172P8,4
23003014019P0,3
30001013014P6,4
31003010039P8,4
52001016070P5,4
52001016026P6,7
51005018011P1,4
51005018003P9,3
52060004007P0,3
32005016012P4,5
32004010017P3,6
20001010012P5,4
32001010061P0,5
32001010036P5,7
32001010089P1,5
51001012029P2,5
51001012018P0,5
51001012005P6,6
50001019176P2,3
50001019003P0,5
50001019039P5,4
32007019016P2,4
15010015072P9,5
15001016081P2,4
15001016030P9,5
15001016087P0*,7
15001016052P2,5
15001016022P6,5
24001031026P8,3
24001015029P6,5
24001040001P4*,4
25001019041P9,7
25001019010P6,5
25001019038P8,6
25001019034P2,4
42003016053P8,4
21001014084P9,4
40001016004P9,4
40001016005P5,6
40001016048P6,6
40001016054P6,4
40001016008P4,6
15002012004P4*,4
42001013057P0,5
42001013007P3,5
42001013008P0,7
31001017146P2,6
31001017014P9,5
31001017019P0,6
31001017096P5,7
23001011015P2,7
23001011059P0,5
25003011001P0,5
25003011071P8,3
25003011033P9*,6
31002013012P2,4
27001016017P6,4
41001010043P0,4
41001010071P4,6
33001014003P2,5
32018010040P9,3
42002010026P8,6
16003012006P6,4
32006012029P0,4
32006012013P7,6
32002017030P3,4
32002017021P4,5
32002017042P1,5
32010010040P1,3
53001010112P6,4
53001010008P4,7
53001010099P0,4
28005015010P0,3
50002015002P0,5
33004048023P9,5
33004064025P2*,6
33004064012P8,6
33004161001P7,5
33004137067P1,6
33004153072P6,6
33003017009P3,7
33003017010P1,6
40005011011P0*,4
14001012003P9*,5
33009015178P8,5
33009015076P0,4
40043010007P8,4
32014015006P0,5
32014015102P9,3
10001018041P7,3
31021018014P2,5
33087016002P9,3
22005013001P4,5
42010012004P0,4
33002010018P6,7
33002010027P5,7
33002010116P8,7
33002010221P6,6
33002029033P0,5
33002029018P1,6
33140014001P8,5
31057012002P8,5
28001010082P9,2
33001014048P6,5
33087016004P1,4
33339007001P2,2
33305005001P1*,4
53003012005P4,7
51002019005P2,6
42008018001P0,5
12008010003P1,4
28002016006P3,5
40002012023P0,7
40004015042P7,5
31033016018P2*,5
28007018008P8,5
33144010016P4,4
12001015013P9,4
28001010080P6,4
22001018064P0,4
22001018080P6,4
24009016030P5,4
22042008002P3,5
30001013029P3,4
51001012177P1,4
32007019020P0,5
12001015038P1*,5
15001016068P6,5
24001015074P1,3
22003010017P5*,6
25001019081P0,4
42003016020P2,7
40001016083P6,3
40001016036P8,7
15002012007P3,3
31001017013P2,7
31001017100P2,6
27001016171P5,4
33001014020P4,5
33001014042P8,4
32018010011P9,5
16003012011P0,4
32010010010P5*,4
32006012171P1,4
32002017023P7,6
33008019005P0,4
33032017005P7,4
53001010100P8*,4
33004030077P0,5
33004064087P8,5
33082014005P6,5
32011016044P0,4
33009015170P7,4
33009015085P0,4
42014018003P9,6
33002088003P7,5
40006018176P6,5
32148011001P6,5
22003010028P7*,4
33004064079P5,5
32145012001P7,3
32014015009P9,5
23004010004P0,4
40022013004P9,5
42004012005P0,7
22008012002P0,3
50005014001P3,3
33299013001P1,4
41002016164P5,4
40002012003P9,4
40004015034P4,5
40004015073P0,3
40005011007P3,4
28006011004P6,4
28001010057P4,4
22001018017P2,4
24009016173P0,3
30001013046P5,4
41020014010P9,4
52001016029P5,5
51005018171P9,3
32004010005P5,6
32004010042P8,4
32001010031P3,5
15001016038P0,4
24013020001P0,4
24001015025P0,6
42003016009P9,6
21001014020P0,4
40001016019P6,6
42001013079P4,5
31001017112P0,6
25003011021P0,3
31002013006P2,5
27001016016P0,4
41001010021P7,6
41001010046P0,7
42002010013P3,6
16003012012P6,4
32006012172P8,4
32002017013P1,7
32010010044P7,4
33004153070P3*,5
33003017042P0,6
33003017027P1,7
33003017029P4,6
33003017028P8,5
31021018017P1,4
42009014010P5,4
42010012001P0,5
33002010101P0*,6
40006018016P9,4
52010015103P6,5
31050018002P3,5
32044011001P3,5
32082010001P8,4
32048017001P9*,4
42045010003P0,4
32005016028P8*,4
42003016054P4,4
40006018015P2,4
31098010001P5,5
53093003001P0,3
33324000001P2,4
53062000001P8,4
32008015017P5,6
31005012026P2,6
22003010074P9,4
24004014007P1,3
31004016061P6,7
31004016057P9,4
33144010019P3,5
33144010173P2,4
28001010177P0,4
28001010094P7,4
24009016171P8,4
31003010033P0,4
31003010062P0,4
52001016055P6,4
32001010011P2,7
15001016053P9,5
24001015080P1,5
25001019033P6,5
42003016037P2,5
21001014082P6,4
40001016061P2,6
40001016076P0,4
42001013033P4,5
42001013101P0,5
42001013156P9,4
31001017137P3,4
31001017160P5,5
41001010083P2,4
33001014026P2,4
42002010163P5,4
32006012072P3,4
53001010026P2,7
53001010025P6,5
33004110044P0*,6
33003017017P6,7
40043010002P6,3
40043010009P0,5
31021018157P8,4
33002010030P6,7
33002010208P0,6
53037014001P0,5
31070019001P0,5
53013018002P7,4
53013018001P0,4
53013018003P3,4
53019016006P0,3
35133007003P8,3
33011010014P0,3
31005012157P0,4
33005010046P2,4
22003010019P8,4
40004015033P8,4
32025017005P1,3
31003010057P6,4
25001019091P6,4
28022017008P0,5
42001013175P3,4
31096018001P2,4
14001012156P0,4
42046017012P6,5
52004015001P2,4
52010015003P1,5
52010015004P8,6
12002011010P6,4
12002011006P9,5
33081018001P4,5
41002016003P1,5
41002016024P9,4
41002016007P7,5
28002016010P0,5
52012018002P8,3
